"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AINV","Apollo Investment Corporation","6.11","$1.37B","2004","n/a","n/a","http://www.nasdaq.com/symbol/ainv",
"AMEH","Apollo Medical Holdings, Inc.","4.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ameh",
"APPF","AppFolio, Inc.","18.89","$635.58M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/appf",
"AAPL","Apple Inc.","108.36","$583.89B","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"AMAT","Applied Materials, Inc.","29.91","$32.33B","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"AMCC","Applied Micro Circuits Corporation","7.16","$611.22M","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/amcc",
"AREX","Approach Resources Inc.","4.12","$171.44M","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"APVO","Aptevo Therapeutics Inc.","2.3","$46.53M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apvo",
"APTO","Aptose Biosciences, Inc.","2","$25.73M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/apto",
"AUMAU","AR Capital Acquisition Corp.","10.01","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/aumau",
"AUMAW","AR Capital Acquisition Corp.","0.0661","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/aumaw",
"ARLZ","Aralez Pharmaceuticals Inc.","5.63","$360.1M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arlz",
"ABUS","Arbutus Biopharma Corporation","3.715","$203.57M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abus",
"ARCB","ArcBest Corporation","19.03","$490.02M","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/arcb",
"ACGL","Arch Capital Group Ltd.","83.15","$10.19B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl",
"APLP","Archrock Partners, L.P.","14.78","$887.33M","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/aplp",
"ACAT","Arctic Cat Inc.","14.48","$188.93M","1990","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/acat",
"ARNA","Arena Pharmaceuticals, Inc.","1.55","$377.05M","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arna",
"ARCC","Ares Capital Corporation","16.4","$5.15B","2004","n/a","n/a","http://www.nasdaq.com/symbol/arcc",
"AGII","Argo Group International Holdings, Ltd.","57.29","$1.72B","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agii",
"AGIIL","Argo Group International Holdings, Ltd.","26.03","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agiil",
